provider,buffer_depth_ms,metric,estimate,ci_low,ci_high,n_traces,n_prompts
deepgram,0.0,median_actual_startup_buffer_ms,74.0,74.0,74.0,120,6
deepgram,20.0,median_ttfa_ms,93.22612499818206,91.53180693538161,100.19503127696215,120,6
deepgram,20.0,median_delivery_rtf,0.614133792947698,0.605700455691047,0.6465292269310269,120,6
deepgram,20.0,median_trace_p95_interarrival_ms,49.79013651172863,49.5522671065919,50.20983351278119,120,6
deepgram,20.0,median_trace_p95_pacing_error_ms,-29.483499722555287,-30.05159141728655,-28.696856258902702,120,6
deepgram,20.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,20.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
deepgram,20.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
deepgram,20.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
deepgram,20.0,median_actual_startup_buffer_ms,74.0,74.0,74.0,120,6
deepgram,40.0,median_ttfa_ms,93.22612499818206,91.76300000399351,99.30291696218774,120,6
deepgram,40.0,median_delivery_rtf,0.614133792947698,0.6057680394881735,0.646956876747796,120,6
deepgram,40.0,median_trace_p95_interarrival_ms,49.79013651172863,49.53822911971656,50.20983351278119,120,6
deepgram,40.0,median_trace_p95_pacing_error_ms,-29.483499722555287,-30.047336778261524,-28.696856258902702,120,6
deepgram,40.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,40.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
deepgram,40.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
deepgram,40.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
deepgram,40.0,median_actual_startup_buffer_ms,74.0,74.0,74.0,120,6
deepgram,80.0,median_ttfa_ms,93.22612499818206,91.6608750121668,100.1771250157617,120,6
deepgram,80.0,median_delivery_rtf,0.614133792947698,0.6057680394881735,0.646956876747796,120,6
deepgram,80.0,median_trace_p95_interarrival_ms,49.79013651172863,49.552375031635165,50.213558797258884,120,6
deepgram,80.0,median_trace_p95_pacing_error_ms,-29.483499722555287,-30.05159141728655,-28.696856258902702,120,6
deepgram,80.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
deepgram,80.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
deepgram,80.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
deepgram,80.0,median_actual_startup_buffer_ms,154.0,154.0,154.0,120,6
deepgram,120.0,median_ttfa_ms,93.22612499818206,91.6608750121668,100.3168048519,120,6
deepgram,120.0,median_delivery_rtf,0.614133792947698,0.6057680394881735,0.646956876747796,120,6
deepgram,120.0,median_trace_p95_interarrival_ms,49.79013651172863,49.548058029904496,50.20983351278119,120,6
deepgram,120.0,median_trace_p95_pacing_error_ms,-29.483499722555287,-30.05159141728655,-28.696856258902702,120,6
deepgram,120.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,120.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
deepgram,120.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
deepgram,120.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
deepgram,120.0,median_actual_startup_buffer_ms,154.0,154.0,154.0,120,6
deepgram,200.0,median_ttfa_ms,93.22612499818206,91.6608750121668,99.75094858964434,120,6
deepgram,200.0,median_delivery_rtf,0.614133792947698,0.605700455691047,0.647384526564565,120,6
deepgram,200.0,median_trace_p95_interarrival_ms,49.79013651172863,49.56333957816241,50.213558797258884,120,6
deepgram,200.0,median_trace_p95_pacing_error_ms,-29.483499722555287,-30.05159141728655,-28.696856258902702,120,6
deepgram,200.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
deepgram,200.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
deepgram,200.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
deepgram,200.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
deepgram,200.0,median_actual_startup_buffer_ms,234.0,234.0,234.0,120,6
elevenlabs,0.0,median_ttfa_ms,195.17466696561314,185.48354197992012,230.36487499484792,120,6
elevenlabs,0.0,median_delivery_rtf,0.058894626502829235,0.041837991820631165,0.12980118075324917,120,6
elevenlabs,0.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.978104391833767,2.012552511514507,120,6
elevenlabs,0.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.880375347410639,-3.8093419035896745,120,6
elevenlabs,0.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,0.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,0.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
elevenlabs,0.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,0.0,median_actual_startup_buffer_ms,9.625,9.104166666666666,9.625,120,6
elevenlabs,20.0,median_ttfa_ms,195.17466696561314,185.97804196178913,231.62352436120273,120,6
elevenlabs,20.0,median_delivery_rtf,0.058894626502829235,0.041818165737355174,0.13017240671531816,120,6
elevenlabs,20.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.983216596068812,2.066142286639659,120,6
elevenlabs,20.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.869995779492213,-3.907254161088125,120,6
elevenlabs,20.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,20.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,20.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
elevenlabs,20.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,20.0,median_actual_startup_buffer_ms,37.8125,37.791666666666664,37.8125,120,6
elevenlabs,40.0,median_ttfa_ms,195.17466696561314,185.59011835968704,230.36891665760774,120,6
elevenlabs,40.0,median_delivery_rtf,0.058894626502829235,0.041857817903907156,0.130190970730138,120,6
elevenlabs,40.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.983216596068812,2.0604671502951524,120,6
elevenlabs,40.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.876697448540271,-3.9060302578694013,120,6
elevenlabs,40.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,40.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,40.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
elevenlabs,40.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,40.0,median_actual_startup_buffer_ms,66.5,66.5,66.52083333333333,120,6
elevenlabs,80.0,median_ttfa_ms,195.17466696561314,185.73079197085463,230.38951354756134,120,6
elevenlabs,80.0,median_delivery_rtf,0.058894626502829235,0.041857817903907156,0.12760327848581304,120,6
elevenlabs,80.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.9830887909629359,2.060609028703764,120,6
elevenlabs,80.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.8849793405582504,-3.8442609421158283,120,6
elevenlabs,80.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,80.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
elevenlabs,80.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
elevenlabs,80.0,median_actual_startup_buffer_ms,92.14583333333333,86.0,95.20833333333333,120,6
elevenlabs,120.0,median_ttfa_ms,195.17466696561314,185.68850363299134,229.43116701208055,120,6
elevenlabs,120.0,median_delivery_rtf,0.058894626502829235,0.041818165737355174,0.12760327848581304,120,6
elevenlabs,120.0,median_trace_p95_interarrival_ms,1.2909544835565612,0.983216596068812,1.920838169171472,120,6
elevenlabs,120.0,median_trace_p95_pacing_error_ms,-5.0564435055945065,-5.88506610111411,-3.907254161088125,120,6
elevenlabs,120.0,glitch_free_rate,1.0,0.9689808335812966,1.0,120,6
elevenlabs,120.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
elevenlabs,120.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
